Series,Rodet Diameter,Bandes,velocitat,power,Re,Np,logRe,logNp,Circular,Disc,Helix,Turbina
D1.1,0.078,0,11.666666666666666,25.0,892156.862745098,5.452888612384686,13.701397251196854,1.6961454888848784,0,1,0,0
D1.1,0.078,0,18.333333333333332,36.0,1401960.7843137253,2.0235091986694553,14.15338237493991,0.7048332312436163,0,1,0,0
D1.1,0.078,0,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
A2.3,0.06,4,1.6666666666666667,12.0,98039.2156862745,3333.333333333333,11.493122837674049,8.111728083308073,0,0,1,0
A2.3,0.06,4,5.0,16.0,294117.6470588235,164.60905349794243,12.591735126342158,5.103573289755525,0,0,1,0
A2.3,0.06,4,8.333333333333334,20.0,490196.07843137253,44.44444444444444,13.102560750108148,3.7942399697717626,0,0,1,0
A2.3,0.06,4,11.666666666666666,25.0,686274.5098039214,20.246193715581477,13.439032986729362,3.007966811222334,0,0,1,0
A2.3,0.06,4,18.333333333333332,37.0,1078431.3725490195,7.7218465648217745,13.89101811047242,2.044053527769186,0,0,1,0
A2.3,0.06,4,20.0,41.0,1176470.588235294,6.59079218106996,13.978029487462049,1.88567355086038,0,0,1,0
A2.3,0.06,4,1.6666666666666667,12.0,98039.2156862745,3333.333333333333,11.493122837674049,8.111728083308073,0,0,1,0
A2.3,0.06,4,5.0,14.0,294117.6470588235,144.0329218106996,12.591735126342158,4.9700418971310025,0,0,1,0
A2.3,0.06,4,8.333333333333334,22.0,490196.07843137253,48.888888888888886,13.102560750108148,3.8895501495760874,0,0,1,0
A2.3,0.06,4,11.666666666666666,26.0,686274.5098039214,21.056041464204736,13.439032986729362,3.047187524375615,0,0,1,0
A2.3,0.06,4,18.333333333333332,38.0,1078431.3725490195,7.930545120627769,13.89101811047242,2.0707217748513473,0,0,1,0
A2.3,0.06,4,20.0,41.0,1176470.588235294,6.59079218106996,13.978029487462049,1.88567355086038,0,0,1,0
A2.3,0.06,4,1.6666666666666667,13.0,98039.2156862745,3611.111111111111,11.493122837674049,8.191770790981609,0,0,1,0
A2.3,0.06,4,3.3333333333333335,15.5,196078.431372549,538.1944444444443,12.186270018233994,6.2882199157654375,0,0,1,0
A2.3,0.06,4,5.0,17.5,294117.6470588235,180.04115226337453,12.591735126342158,5.193185448445212,0,0,1,0
A2.3,0.06,4,6.666666666666667,18.0,392156.862745098,78.12499999999999,12.87941719879394,4.358310108056566,0,0,1,0
A2.3,0.06,4,8.333333333333334,21.0,490196.07843137253,46.666666666666664,13.102560750108148,3.8430301339411947,0,0,1,0
A2.3,0.06,4,10.0,23.5,588235.294117647,30.221193415637867,13.284882306902103,3.4085434469860214,0,0,1,0
A2.3,0.06,4,11.666666666666666,25.5,686274.5098039214,20.651117589893104,13.439032986729362,3.0277694385185137,0,0,1,0
A2.3,0.06,4,18.333333333333332,39.0,1078431.3725490195,8.139243676433763,13.89101811047242,2.096697261254608,0,0,1,0
A2.3,0.06,4,20.0,42.5,1176470.588235294,6.831918724279837,13.978029487462049,1.9216055600864432,0,0,1,0
A2.3,0.06,4,1.6666666666666667,12.0,98039.2156862745,3333.333333333333,11.493122837674049,8.111728083308073,0,0,1,0
A2.3,0.06,4,3.3333333333333335,14.0,196078.431372549,486.1111111111111,12.186270018233994,6.1864372214554955,0,0,1,0
A2.3,0.06,4,5.0,16.0,294117.6470588235,164.60905349794243,12.591735126342158,5.103573289755525,0,0,1,0
A2.3,0.06,4,6.666666666666667,19.5,392156.862745098,84.63541666666666,12.87941719879394,4.438352815730102,0,0,1,0
A2.3,0.06,4,8.333333333333334,20.0,490196.07843137253,44.44444444444444,13.102560750108148,3.7942399697717626,0,0,1,0
A2.3,0.06,4,10.0,22.0,588235.294117647,28.292181069958854,13.284882306902103,3.342585479194224,0,0,1,0
A2.3,0.06,4,11.666666666666666,26.0,686274.5098039214,21.056041464204736,13.439032986729362,3.047187524375615,0,0,1,0
A2.3,0.06,4,18.333333333333332,38.0,1078431.3725490195,7.930545120627769,13.89101811047242,2.0707217748513473,0,0,1,0
A2.3,0.06,4,20.0,42.5,1176470.588235294,6.831918724279837,13.978029487462049,1.9216055600864432,0,0,1,0
A1.3,0.06,0,1.6666666666666667,10.0,98039.2156862745,2777.7777777777774,11.493122837674049,7.929406526514119,0,0,1,0
A1.3,0.06,0,5.0,15.0,294117.6470588235,154.32098765432102,12.591735126342158,5.039034768617954,0,0,1,0
A1.3,0.06,0,8.333333333333334,19.0,490196.07843137253,42.22222222222222,13.102560750108148,3.742946675384212,0,0,1,0
A1.3,0.06,0,11.666666666666666,24.0,686274.5098039214,19.436345966958218,13.439032986729362,2.9671448167020786,0,0,1,0
A1.3,0.06,0,18.333333333333332,34.0,1078431.3725490195,7.095750897403793,13.89101811047242,1.9594961397411228,0,0,1,0
A1.3,0.06,0,20.0,36.0,1176470.588235294,5.787037037037038,13.978029487462049,1.755620422612182,0,0,1,0
A1.3,0.06,0,1.6666666666666667,11.0,98039.2156862745,3055.555555555555,11.493122837674049,8.024716706318443,0,0,1,0
A1.3,0.06,0,5.0,17.0,294117.6470588235,174.8971193415638,12.591735126342158,5.16419791157196,0,0,1,0
A1.3,0.06,0,8.333333333333334,20.0,490196.07843137253,44.44444444444444,13.102560750108148,3.7942399697717626,0,0,1,0
A1.3,0.06,0,11.666666666666666,25.0,686274.5098039214,20.246193715581477,13.439032986729362,3.007966811222334,0,0,1,0
A1.3,0.06,0,18.333333333333332,34.0,1078431.3725490195,7.095750897403793,13.89101811047242,1.9594961397411228,0,0,1,0
A1.3,0.06,0,20.0,36.0,1176470.588235294,5.787037037037038,13.978029487462049,1.755620422612182,0,0,1,0
A1.3,0.06,0,1.6666666666666667,13.0,98039.2156862745,3611.111111111111,11.493122837674049,8.191770790981609,0,0,1,0
A1.3,0.06,0,3.3333333333333335,15.5,196078.431372549,538.1944444444443,12.186270018233994,6.2882199157654375,0,0,1,0
A1.3,0.06,0,5.0,16.0,294117.6470588235,164.60905349794243,12.591735126342158,5.103573289755525,0,0,1,0
A1.3,0.06,0,6.666666666666667,19.5,392156.862745098,84.63541666666666,12.87941719879394,4.438352815730102,0,0,1,0
A1.3,0.06,0,8.333333333333334,21.5,490196.07843137253,47.77777777777778,13.102560750108148,3.8665606313513887,0,0,1,0
A1.3,0.06,0,10.0,23.0,588235.294117647,29.578189300411527,13.284882306902103,3.3870372417650576,0,0,1,0
